column,missing_rate
finbert_positive_share_lag12w,0.5529733424470267
avg_climate_relevance_lag12w,0.5529733424470267
finbert_negative_count_lag12w,0.5529733424470267
finbert_avg_sentiment_lag12w,0.5529733424470267
finbert_min_sentiment_lag12w,0.5529733424470267
finbert_max_sentiment_lag12w,0.5529733424470267
finbert_sentiment_volatility_lag12w,0.5529733424470267
climate_article_count_lag12w,0.5529733424470267
finbert_negative_share_lag12w,0.5529733424470267
max_climate_relevance_lag12w,0.5529733424470267
climate_negative_count_lag12w,0.5529733424470267
climate_negative_share_lag12w,0.5529733424470267
climate_article_share_lag12w,0.5529733424470267
avg_climate_x_finbert_negative_prob_lag12w,0.5529733424470267
climate_news_intensity_lag12w,0.5529733424470267
max_climate_relevance_lag4w,0.5379357484620643
climate_negative_count_lag4w,0.5379357484620643
climate_news_intensity_lag4w,0.5379357484620643
finbert_avg_sentiment_lag4w,0.5379357484620643
finbert_min_sentiment_lag4w,0.5379357484620643
finbert_max_sentiment_lag4w,0.5379357484620643
finbert_sentiment_volatility_lag4w,0.5379357484620643
avg_climate_relevance_lag4w,0.5379357484620643
finbert_positive_share_lag4w,0.5379357484620643
finbert_negative_count_lag4w,0.5379357484620643
climate_negative_share_lag4w,0.5379357484620643
climate_article_share_lag4w,0.5379357484620643
avg_climate_x_finbert_negative_prob_lag4w,0.5379357484620643
finbert_negative_share_lag4w,0.5379357484620643
climate_article_count_lag4w,0.5379357484620643
finbert_negative_share_lag1w,0.5322966507177034
finbert_avg_sentiment_lag1w,0.5322966507177034
finbert_max_sentiment_lag1w,0.5322966507177034
finbert_sentiment_volatility_lag1w,0.5322966507177034
finbert_positive_share_lag1w,0.5322966507177034
finbert_negative_count_lag1w,0.5322966507177034
climate_negative_share_lag1w,0.5322966507177034
climate_news_intensity_lag1w,0.5322966507177034
climate_article_share_lag1w,0.5322966507177034
avg_climate_x_finbert_negative_prob_lag1w,0.5322966507177034
climate_negative_count_lag1w,0.5322966507177034
max_climate_relevance_lag1w,0.5322966507177034
avg_climate_relevance_lag1w,0.5322966507177034
climate_article_count_lag1w,0.5322966507177034
finbert_min_sentiment_lag1w,0.5322966507177034
finbert_positive_share,0.530416951469583
finbert_negative_share,0.530416951469583
finbert_sentiment_volatility,0.530416951469583
finbert_max_sentiment,0.530416951469583
finbert_negative_count,0.530416951469583
finbert_min_sentiment,0.530416951469583
finbert_avg_sentiment,0.530416951469583
finbert_article_count,0.530416951469583
avg_climate_x_finbert_negative_prob,0.530416951469583
climate_negative_count,0.530416951469583
climate_negative_share,0.530416951469583
climate_news_intensity,0.530416951469583
climate_article_share,0.530416951469583
climate_article_count,0.530416951469583
avg_climate_relevance,0.530416951469583
max_climate_relevance,0.530416951469583
climate_article_total,0.530416951469583
esg_article_count_lag12w,0.4588174982911825
esg_news_intensity_lag12w,0.4588174982911825
gov_article_share_lag12w,0.4588174982911825
social_article_share_lag12w,0.4588174982911825
env_article_share_lag12w,0.4588174982911825
controversy_article_share_lag12w,0.4588174982911825
esg_article_share_lag12w,0.4588174982911825
article_count_lag12w,0.4588174982911825
gov_article_share_lag4w,0.4437799043062201
social_article_share_lag4w,0.4437799043062201
env_article_share_lag4w,0.4437799043062201
controversy_article_share_lag4w,0.4437799043062201
esg_article_share_lag4w,0.4437799043062201
esg_article_count_lag4w,0.4437799043062201
article_count_lag4w,0.4437799043062201
esg_news_intensity_lag4w,0.4437799043062201
controversy_article_share_lag1w,0.4381408065618592
esg_article_count_lag1w,0.4381408065618592
esg_article_share_lag1w,0.4381408065618592
article_count_lag1w,0.4381408065618592
env_article_share_lag1w,0.4381408065618592
gov_article_share_lag1w,0.4381408065618592
esg_news_intensity_lag1w,0.4381408065618592
social_article_share_lag1w,0.4381408065618592
social_keyword_count,0.4362611073137389
article_count,0.4362611073137389
esg_article_count,0.4362611073137389
controversy_article_count,0.4362611073137389
env_article_count,0.4362611073137389
social_article_count,0.4362611073137389
gov_article_count,0.4362611073137389
env_keyword_count,0.4362611073137389
controversy_keyword_count,0.4362611073137389
gov_keyword_count,0.4362611073137389
esg_keyword_total,0.4362611073137389
esg_article_share,0.4362611073137389
controversy_article_share,0.4362611073137389
env_article_share,0.4362611073137389
social_article_share,0.4362611073137389
esg_news_intensity,0.4362611073137389
gov_article_share,0.4362611073137389
ticker,0.0
week_end_date,0.0
rolling_vol_21d,0.0
rolling_avg_volume_21d,0.0
distance_from_52w_high,0.0
close_to_ma21,0.0
rolling_drawdown_63d,0.0
rolling_drawdown_21d,0.0
rolling_vol_63d,0.0
rolling_vol_10d,0.0
high_vol_63d,0.0
rolling_vol_5d,0.0
trailing_return_63d,0.0
trailing_return_21d,0.0
trailing_return_10d,0.0
trailing_return_5d,0.0
return_1d,0.0
volume_surprise,0.0
benchmark_return_1d,0.0
benchmark_ticker,0.0
excess_return_1d,0.0
rolling_beta_63d,0.0
rolling_corr_63d,0.0
future_vol_5d,0.0
future_return_5d,0.0
future_vol_10d,0.0
future_return_10d,0.0
future_vol_21d,0.0
future_return_21d,0.0
future_vol_63d,0.0
future_return_63d,0.0
high_vol_5d,0.0
high_vol_10d,0.0
high_vol_21d,0.0
has_esg_news_week,0.0
