ticker,source_ticker,price_available,rows,min_date,max_date,filename
AAPL,AAPL,True,10852,1980-12-12,2023-12-28,AAPL.csv
MSFT,MSFT,True,9526,1986-03-13,2023-12-28,MSFT.csv
NVDA,NVDA,True,6275,1999-01-22,2023-12-28,nvda.csv
AMZN,AMZN,True,6700,1997-05-15,2023-12-28,AMZN.csv
GOOGL,GOOGL,True,3932,2004-08-19,2020-04-01,GOOGL.csv
META,FB,True,2044,2012-05-18,2020-07-02,FB.csv
TSLA,TSLA,True,3399,2010-06-29,2023-12-28,TSLA.csv
JPM,JPM,True,11040,1980-03-17,2023-12-28,JPM.csv
BAC,BAC,True,11949,1973-02-21,2020-07-02,BAC.csv
XOM,XOM,True,13618,1970-01-02,2023-12-28,XOM.csv
CVX,CVX,True,15605,1962-01-02,2023-12-28,CVX.csv
COST,COST,True,9445,1986-07-09,2023-12-28,COST.csv
WMT,WMT,True,12946,1972-08-25,2023-12-28,WMT.csv
UNH,,False,0,,,
JNJ,JNJ,True,15605,1962-01-02,2023-12-28,JNJ.csv
HD,HD,True,9770,1981-09-22,2020-06-19,HD.csv
DIS,DIS,True,15605,1962-01-02,2023-12-28,DIS.csv
NFLX,NFLX,True,4551,2002-05-23,2020-06-19,NFLX.csv
AMD,AMD,True,11040,1980-03-17,2023-12-28,AMD.csv
INTC,INTC,True,11040,1980-03-17,2023-12-28,INTC.csv
QQQ,QQQ,True,6243,1999-03-10,2023-12-28,QQQ.csv
SPY,SPY,True,7785,1993-01-29,2023-12-28,SPY.csv
